,Date,TemperatureDSNY,TemperatureCPER
419,2019-01-09 17:30:00+00:00,20.9568,1.834
420,2019-01-09 18:00:00+00:00,21.3021,2.2455
421,2019-01-09 18:30:00+00:00,21.7661,2.4918
422,2019-01-09 19:00:00+00:00,22.2857,2.6645
423,2019-01-09 19:30:00+00:00,22.5627,2.8554
424,2019-01-09 20:00:00+00:00,22.3885,3.0285
425,2019-01-09 20:30:00+00:00,22.3358,3.2283
426,2019-01-09 21:00:00+00:00,21.8675,3.5096
427,2019-01-09 21:30:00+00:00,20.9802,3.5603
428,2019-01-09 22:00:00+00:00,20.0733,3.3663
429,2019-01-09 22:30:00+00:00,19.0352,3.1438
430,2019-01-09 23:00:00+00:00,18.2849,2.8095
431,2019-01-09 23:30:00+00:00,17.4213,2.3145
432,2019-01-10 00:00:00+00:00,16.2488,1.726
433,2019-01-10 00:30:00+00:00,15.3756,1.4442
434,2019-01-10 01:00:00+00:00,14.5059,0.3388
435,2019-01-10 01:30:00+00:00,13.7668,0.3768
436,2019-01-10 02:00:00+00:00,12.9551,1.3605
437,2019-01-10 02:30:00+00:00,12.5286,0.918
438,2019-01-10 03:00:00+00:00,12.4077,0.4585
439,2019-01-10 03:30:00+00:00,12.3957,1.3003
440,2019-01-10 04:00:00+00:00,12.2167,1.0509
441,2019-01-10 04:30:00+00:00,11.7142,1.694
442,2019-01-10 05:00:00+00:00,11.1616,3.463
443,2019-01-10 05:30:00+00:00,10.5576,3.5678
444,2019-01-10 06:00:00+00:00,10.2543,3.3678
445,2019-01-10 06:30:00+00:00,9.8332,2.9047
446,2019-01-10 07:00:00+00:00,9.473,4.7294
447,2019-01-10 07:30:00+00:00,9.0371,6.5549
448,2019-01-10 08:00:00+00:00,8.9532,5.4151
449,2019-01-10 08:30:00+00:00,8.5147,6.311
450,2019-01-10 09:00:00+00:00,8.0529,6.4349
451,2019-01-10 09:30:00+00:00,7.7544,6.216
452,2019-01-10 10:00:00+00:00,7.4056,5.8019
453,2019-01-10 10:30:00+00:00,6.9297,7.0861
454,2019-01-10 11:00:00+00:00,6.5256,7.2715
455,2019-01-10 11:30:00+00:00,6.1918,7.1659
456,2019-01-10 12:00:00+00:00,6.0146,7.0222
457,2019-01-10 12:30:00+00:00,6.1074,6.6256
458,2019-01-10 13:00:00+00:00,7.3932,6.625
459,2019-01-10 13:30:00+00:00,8.2142,4.9833
460,2019-01-10 14:00:00+00:00,8.9682,4.4198
461,2019-01-10 14:30:00+00:00,9.4993,2.6885
462,2019-01-10 15:00:00+00:00,10.1196,3.937
463,2019-01-10 15:30:00+00:00,10.6452,5.365
464,2019-01-10 16:00:00+00:00,11.0155,7.4455
465,2019-01-10 16:30:00+00:00,11.6192,7.489
466,2019-01-10 17:00:00+00:00,12.1807,8.493
467,2019-01-10 17:30:00+00:00,12.7615,8.5831
468,2019-01-10 18:00:00+00:00,13.3432,9.7841
469,2019-01-10 18:30:00+00:00,13.9049,10.6802
470,2019-01-10 19:00:00+00:00,14.1567,11.2898
471,2019-01-10 19:30:00+00:00,14.582,11.4703
472,2019-01-10 20:00:00+00:00,14.6419,11.7548
473,2019-01-10 20:30:00+00:00,14.8065,11.9511
474,2019-01-10 21:00:00+00:00,14.703,12.1345
475,2019-01-10 21:30:00+00:00,14.4801,12.0452
